Dia_nombre,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Lunes,787,525,594,609,1022,624,287,294,407,422,622,596,505,179,156
Martes,777,410,399,517,690,590,282,293,278,418,486,466,368,197,159
Miércoles,813,433,534,533,624,656,236,287,335,396,410,443,354,220,148
Jueves,791,501,508,673,692,741,321,289,354,457,434,500,487,200,207
Viernes,1168,662,799,793,899,967,456,436,447,574,569,790,755,288,229
Sábado,1429,1050,843,1050,1535,1406,724,625,654,785,886,719,776,408,243
Domingo,781,863,905,1130,1012,1045,481,395,525,414,484,601,355,219,220
