,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Lunes,696,374,386,434,672,434,142,148,170,161,160,146,170,163,156
Martes,722,321,305,401,514,431,172,183,155,149,163,161,153,166,159
Miércoles,761,365,403,364,471,537,153,142,154,136,150,132,142,138,148
Jueves,736,386,423,558,581,604,217,179,188,224,165,190,197,186,207
Viernes,1076,486,542,569,604,663,224,248,231,226,212,248,225,237,229
Sábado,1248,833,635,751,1082,918,257,269,270,259,285,264,254,253,243
Domingo,689,611,639,805,760,726,198,194,195,208,228,222,221,219,220
